"x","y","Spec_id.x","Study_id","Spec_Latin_GBIF","Spec_Latin_GenDivRange","Genus_GBIF","Family_GBIF","Order_GBIF","Spec_common_EOL","Spec_id.y","Pop_id","Geog_1","Geog_2","N","A","A_mean","A_tot","A_eff","A_private","N_genot","Ar","Ho","He","GD_Nei","D_clonal","F_is","F_is_sig","Ploidy","elev","Ice","Tectonic","SeaLevel","Topography","History","stream_size","elevation","slope"
-122.9538935,38.11705112,"ARIN","ARIN-1","Archoplites interruptus (Girard; 1854)","Archoplites interruptus","Archoplites","Centrarchidae","Perciformes","Sacramento Perch","ARIN","ARIN-1-4","United States of America","Abbotts Lagoon",139,7.917,NA,NA,NA,NA,NA,NA,0.6458,0.6617,NA,NA,NA,NA,"diploid",5,"Unglaciated","Active","Unflooded","Lowland","Active Unglaciated Lowland",0.516940428184854,4,0.0790697261691093
-108.5643691,35.27656244,"CADS","CADS-1","Catostomus discobolus Cope; 1871","Catostomus discobolus","Catostomus","Catostomidae","Cypriniformes","Bluehead Sucker","CADS","CADS-1-1","United States of America","Agua Remora",21,2.6,NA,NA,NA,NA,NA,NA,0.34,0.36,NA,NA,NA,NA,"diploid",2138,"Unglaciated","Active","Unflooded","Highland","Active Unglaciated Highland",0.0363319292473903,2083,2.58518505096436
-109.9952057,34.74273691,"CADS","CADS-1","Catostomus discobolus Cope; 1871","Catostomus discobolus","Catostomus","Catostomidae","Cypriniformes","Bluehead Sucker","CADS","CADS-1-10","United States of America","Little Colorado River East Fork",17,6.9,NA,NA,NA,NA,NA,NA,0.64,0.66,NA,NA,NA,NA,"diploid",1613,"Unglaciated","Active","Unflooded","Highland","Active Unglaciated Highland",0.0363319292473903,1584,0.23109370470047
-109.2687803,34.13871754,"CADS","CADS-1","Catostomus discobolus Cope; 1871","Catostomus discobolus","Catostomus","Catostomidae","Cypriniformes","Bluehead Sucker","CADS","CADS-1-11","United States of America","Little Colorado River Nutrioso Creek",10,6.1,NA,NA,NA,NA,NA,NA,0.67,0.68,NA,NA,NA,NA,"diploid",2143,"Unglaciated","Active","Unflooded","Highland","Active Unglaciated Highland",0.0363319292473903,2122,0.531282842159271
-110.0343144,34.69709771,"CADS","CADS-1","Catostomus discobolus Cope; 1871","Catostomus discobolus","Catostomus","Catostomidae","Cypriniformes","Bluehead Sucker","CADS","CADS-1-12","United States of America","Little Colorado River Silver Creek",19,5.8,NA,NA,NA,NA,NA,NA,0.7,0.68,NA,NA,NA,NA,"diploid",1624,"Unglaciated","Active","Unflooded","Highland","Active Unglaciated Highland",0.0363319292473903,1602,1.51312124729156
-109.3042728,34.18577319,"CADS","CADS-1","Catostomus discobolus Cope; 1871","Catostomus discobolus","Catostomus","Catostomidae","Cypriniformes","Bluehead Sucker","CADS","CADS-1-13","United States of America","Little Colorado River Wenima",18,9.1,NA,NA,NA,NA,NA,NA,0.72,0.74,NA,NA,NA,NA,"diploid",2116,"Unglaciated","Active","Unflooded","Highland","Active Unglaciated Highland",0.0363319292473903,2055,4.12817335128784
-110.7432427,34.86999772,"CADS","CADS-1","Catostomus discobolus Cope; 1871","Catostomus discobolus","Catostomus","Catostomidae","Cypriniformes","Bluehead Sucker","CADS","CADS-1-14","United States of America","Little Colorado River Willow Creek",16,6.4,NA,NA,NA,NA,NA,NA,0.63,0.68,NA,NA,NA,NA,"diploid",1609,"Unglaciated","Active","Unflooded","Highland","Active Unglaciated Highland",0.00995033085316808,1601,4.14634847640991
-109.5604939,42.01294111,"CADS","CADS-1","Catostomus discobolus Cope; 1871","Catostomus discobolus","Catostomus","Catostomidae","Cypriniformes","Bluehead Sucker","CADS","CADS-1-15","United States of America","Little Sandy River + Big Sandy River",45,10.75,NA,NA,NA,NA,NA,NA,0.8,0.8,NA,NA,NA,NA,"diploid",1994,"Unglaciated","Active","Unflooded","Highland","Active Unglaciated Highland",0.0168571170664229,1974,2.07097363471985
-112.6310963,36.39130617,"CADS","CADS-1","Catostomus discobolus Cope; 1871","Catostomus discobolus","Catostomus","Catostomidae","Cypriniformes","Bluehead Sucker","CADS","CADS-1-16","United States of America","Matkatamiba Canyon + Little Colorado River (Grand Canyon) + Shinumo Creek + Kanab River",139,8.85,NA,NA,NA,NA,NA,NA,0.738,0.735,NA,NA,NA,NA,"diploid",1105,"Unglaciated","Active","Unflooded","Highland","Active Unglaciated Highland",0.023716526617316,590,23.2954711914062
-111.1959391,39.10015508,"CADS","CADS-1","Catostomus discobolus Cope; 1871","Catostomus discobolus","Catostomus","Catostomidae","Cypriniformes","Bluehead Sucker","CADS","CADS-1-17","United States of America","Millsite Reservoir",28,10,NA,NA,NA,NA,NA,NA,0.77,0.75,NA,NA,NA,NA,"diploid",1964,"Unglaciated","Active","Unflooded","Highland","Active Unglaciated Highland",0.145741930897282,1894,0.0797403901815414
