Fish_ID	Cluster_ID	Reach_ID	Sfo_C113a	Sfo_C113b	Sfo_C88a	Sfo_C88b	Sfo_D100a	Sfo_D100b	Sfo_D75a	Sfo_D75b	Sfo_C115a	Sfo_C115b	Sfo_C129a	Sfo_C129b	Sfo_C24a	Sfo_C24b	Ssa_D237a	Ssa_D237b
Ind-637	KentUp	K52	128	132	183	183	228	228	181	181	228	248	223	232	116	119	300	416
Ind-638	KentUp	K52	128	132	183	183	215	269	181	181	246	248	223	232	116	119	295	433
Ind-639	KentUp	K53	132	148	183	186	219	219	181	214	242	312	232	232	116	119	295	295
Ind-640	KentUp	K53	128	132	183	183	211	219	176	181	240	246	223	232	116	119	295	304
Ind-641	KentUp	K53	132	132	183	183	215	215	176	181	312	312	223	223	116	119	300	433
Ind-642	KentUp	K53	132	148	183	183	215	219	181	185	240	246	223	223	119	119	300	312
Ind-643	KentUp	K54	132	152	183	183	219	237	176	181	358	358	223	223	116	116	295	433
Ind-644	KentUp	K54	132	132	186	186	219	224	181	181	228	242	223	232	119	122	321	416
Ind-645	KentUp	K54	148	148	183	183	215	219	181	185	240	246	223	236	119	119	300	433
Ind-646	KentUp	K54	132	132	183	183	219	219	176	185	228	228	232	232	116	119	416	486
Ind-647	KentUp	K54	132	152	183	183	219	228	176	181	242	246	232	232	116	122	295	486
Ind-648	KentUp	K54	132	148	183	186	219	219	176	181	242	312	223	232	116	116	295	433
Ind-649	KentUp	K55	132	152	183	183	215	219	181	185	240	246	223	232	119	119	300	312
Ind-650	KentUp	K55	132	152	186	186	215	219	176	181	228	354	223	223	116	116	295	433
Ind-651	KentUp	K55	128	132	183	183	215	219	176	181	246	246	223	223	116	116	424	433
Ind-652	KentUp	K55	128	132	183	183	215	269	181	181	246	358	223	232	116	116	321	433
Ind-653	KentUp	K55	132	132	183	183	219	219	181	181	228	242	223	232	116	119	433	433
Ind-654	KentUp	K55	148	148	183	183	219	269	181	181	242	248	223	223	119	119	300	300
Ind-655	KentUp	K56	148	152	183	183	219	219	181	185	240	240	223	223	119	119	433	433
Ind-656	KentUp	K56	132	148	183	183	228	269	181	181	248	358	232	236	119	119	300	416
Ind-657	KentUp	K56	132	152	183	186	215	219	176	181	246	246	223	236	119	119	300	433
Ind-658	KentUp	K56	132	132	183	186	215	215	176	181	240	308	223	223	119	119	300	420
Ind-659	KentUp	K56	132	132	183	183	215	219	176	181	312	346	232	232	116	119	286	424
Ind-660	KentUp	K56	132	132	183	183	219	228	181	185	246	354	232	232	116	119	433	433
Ind-661	KentUp	K57	128	132	183	183	215	228	181	181	246	354	223	232	116	116	433	433
Ind-662	KentDown	KT0-01	132	152	183	186	219	228	197	197	228	228	223	232	119	119	295	295
Ind-663	KentDown	KT0-01	132	132	183	192	211	269	176	181	228	246	223	232	116	116	433	433
Ind-664	KentDown	KT0-01	132	148	183	183	219	237	176	181	242	246	232	232	116	119	291	433
Ind-665	KentDown	KT0-01	132	152	183	186	219	228	197	197	228	228	232	232	116	119	304	433
Ind-666	KentDown	KT0-01	135	152	183	183	219	224	176	197	228	228	232	232	116	119	304	433
Ind-667	KentDown	KT0-01	132	152	183	186	219	228	197	197	228	228	232	232	119	119	304	416
Ind-668	KentDown	KT0-01	132	132	183	183	219	228	181	181	240	246	232	232	116	119	291	295
Ind-669	KentDown	KT0-01	152	152	183	186	219	228	197	197	228	228	232	232	119	119	295	433
Ind-670	KentDown	KT0-01	132	132	183	186	219	269	181	197	228	300	223	232	119	119	416	433
Ind-671	KentDown	KT2-01	128	132	183	183	219	269	181	181	242	358	232	232	116	119	300	433
Ind-672	KentDown	KT2-01	132	152	183	183	215	237	176	214	228	242	223	223	116	116	300	433
Ind-673	KentDown	KT2-01	152	152	183	183	219	269	197	214	244	308	232	236	116	122	291	458
Ind-674	KentDown	KT2-01	132	132	183	183	211	219	181	197	228	246	223	232	116	116	300	312
Ind-675	KentDown	KT2-02	132	132	183	192	219	228	176	181	242	248	223	223	116	119	300	433
Ind-676	KentDown	KT2-02	128	148	183	183	219	219	181	181	242	248	223	232	116	119	291	295
Ind-677	KentDown	KT2-02	132	152	183	183	215	219	181	214	242	242	232	232	116	122	433	441
Ind-678	KentDown	KT2-03	132	132	183	183	219	269	181	181	242	358	232	232	116	119	300	486
Ind-679	KentDown	KT2-03	128	132	183	186	215	219	176	176	228	242	232	236	116	119	295	433
Ind-680	KentDown	KT2-03	128	152	183	192	211	269	176	176	240	300	232	232	113	116	433	458
Ind-681	KentDown	KT2-03	128	132	183	183	219	237	181	181	246	308	223	232	113	119	304	433
Ind-682	KentDown	KT2-03	132	132	183	183	219	228	181	197	228	246	223	232	116	119	300	433
