GVL Code,Alternate Sample Name,Indentifier,Sequenced Under,Genus,Species,Subspecies,Authority,Common Name,Source Location,Coordinates,Collection Date,Collector,Container Name,Notes,
WCS_24,WCS 10,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV","Station BN1,",9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_25,WCS 11,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station BN1,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_26,WCS 12,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station BN1,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_27,WCS 13,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station BN1,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
S_TR_01,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"Truckee River, NV",Painted Rock,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_02,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"Truckee River, NV",Painted Rock,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_03,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"Truckee River, NV",Painted Rock,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_04,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"Truckee River, NV",Painted Rock,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_05,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"Truckee River, NV",Painted Rock,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_06,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"Truckee River, NV",Painted Rock,10/7/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_07,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Truckee River, NV",Painted Rock,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_08,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker," Truckee River, NV",Painted Rock,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_09,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Truckee River, NV",Painted Rock,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_10,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Truckee River, NV",Painted Rock,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_11,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Truckee River, NV",Rock Park,10/7/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_12,,,Catostomus sp,Catostomus,undetermined,,,Unidentified Sucker,"Truckee River, NV",Rock Park,10/7/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_13,,,Catostomus sp,Catostomus,undetermined,,,Unidentified Sucker,"Truckee River, NV",Rock Park,10/7/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_14,,,Catostomus sp,Catostomus,undetermined,,,Unidentified Sucker,"Truckee River, NV",Rock Park,10/7/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_15,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"Truckee River, NV",McCarren,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_16,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"Truckee River, NV",McCarren,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_17,,,Catostomus tahoensis,Catostomus,tahoensis,,Gill & Jordan 1878,Tahoe Sucker,"Truckee River, NV",McCarren,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_18,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Truckee River, NV",McCarren,10/6/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_19,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker," Truckee River, NV",Verdi Dam,10/8/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
S_TR_20,,,Catostomus platyrhynchus,Pantosteus,platyrhynchus,,(Cope 1874),Mountain Sucker,"Truckee River, NV",Verdi Dam,10/8/20,"Travis Hawks, NV Dept of Wildlife",Sucker_Truckee_River_NVDeptW_2020,,
