Chain #2
Seed for random number generator: 2 51 43 1 13

Acceptance rates for chain #2 (%)
ptild: 30.9383
theta: 31.9612
p: 29.5597
F: 35.9949
Mt: 11.6287
nm: 28.5171
m: 48.5857

Migration rates
Into/From	1	2	3	4
2	0.398083	0.0433945
3	0.00212546	0.00319672
4	0.0607392	0.0174014
5	0.0803955	0.0282684
6	0.0018732	0.00299323
7	0.00176411	0.0028997
8	0.0256741	0.0124717
9	0.0666892	0.0170974
10	0.00765297	0.00564762
11	0.0059129	0.00605218
12	0.0104475	0.00681283
13	0.00455786	0.00530019
14	0.00235189	0.00355478
15	0.0030692	0.00433201
16	0.00611527	0.00501189
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 3
1	0.0148041	0.0137893
2	0.393599	0.0474836
3	0.108869	0.0298408
4	0.00781279	0.00688782
5	0.0192034	0.0106121
6	0.00177494	0.00307429
7	0.00153076	0.00254418
8	0.260987	0.0351503
9	0.0221573	0.0168536
10	0.00353361	0.00550581
11	0.00229377	0.0034638
12	0.0312561	0.0127407
13	0.101188	0.0272832
14	0.00192263	0.00335902
15	0.0104694	0.00755113
16	0.0113143	0.00978422
17	0.00199284	0.00326314
18	0.00529067	0.00455649
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 4
1	0.069728	0.0200039
2	0.0501902	0.0181732
3	0.113766	0.0238436
4	0.0382488	0.0173025
5	0.00591369	0.00597793
6	0.0585152	0.0170329
7	0.0735137	0.0257084
8	0.0297304	0.0128267
9	0.0483271	0.0182588
10	0.00666554	0.0092929
11	0.00479425	0.00618487
12	0.110498	0.0263305
13	0.063128	0.0252889
14	0.0366275	0.0137188
15	0.0445903	0.0183056
16	0.0526352	0.0179423
17	0.00290336	0.00418179
18	0.00347172	0.00448976
19	0.0597888	0.0225216
20	0.0462059	0.0161916
21	0.0271695	0.0125516
22	0.00541466	0.00728681
23	0.00163738	0.00264849
24	0.00999388	0.00844435
25	0.0138439	0.0122081
26	0.0135711	0.00880475
27	0.00796281	0.00572249
28	0.00116459	0.00217718
At locus 5
1	0.0415702	0.0160105
2	0.0212885	0.0127371
3	0.0138314	0.0115684
4	0.127909	0.0294876
5	0.222082	0.0339603
6	0.166267	0.0294987
7	0.0451112	0.0198422
8	0.0621233	0.0218743
9	0.118228	0.0279505
10	0.0919379	0.0256135
11	0.0724582	0.0230904
12	0.00730477	0.00716261
13	0.00988831	0.00954866
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 6
1	0.107427	0.0262046
2	0.0212121	0.0121898
3	0.168387	0.0342638
4	0.0464551	0.0172853
5	0.0806893	0.0255113
6	0.0711699	0.019348
7	0.134082	0.0270875
8	0.118889	0.0270139
9	0.0726754	0.0205659
10	0.0818366	0.0227311
11	0.00794291	0.00904974
12	0.0173154	0.012654
13	0.065823	0.0191641
14	0.00141887	0.00235617
15	0.00467653	0.00422587
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 7
1	0.0448064	0.0156364
2	0.0212842	0.01297
3	0.26794	0.0432801
4	0.14347	0.0293956
5	0.0514806	0.0192603
6	0.000965093	0.00200788
7	0.00127217	0.00235938
8	0.0210831	0.0121298
9	0.00518608	0.00588678
10	0.0240801	0.0144739
11	0.0876937	0.0234135
12	0.136522	0.0306664
13	0.0264712	0.0126341
14	0.0113726	0.00838995
15	0.0609444	0.0159879
16	0.0509122	0.018534
17	0.0186957	0.00904844
18	0.00700427	0.00753819
19	0.00421139	0.00555194
20	0.00494974	0.00628502
21	0.00148666	0.00268315
22	0.00177285	0.00297297
23	0.00125318	0.00236524
24	0.00514307	0.00449853
25	0	0
26	0	0
27	0	0
28	0	0
At locus 8
1	0.0982277	0.0297818
2	0.053349	0.0207683
3	0.0807873	0.0245152
4	0.112811	0.0261813
5	0.164583	0.0322735
6	0.103425	0.0236094
7	0.0013757	0.00236209
8	0.02278	0.0108095
9	0.100916	0.0318333
10	0.0858083	0.0251359
11	0.00239493	0.00369372
12	0.0132869	0.00841778
13	0.012966	0.0073148
14	0.0458452	0.01363
15	0.0430268	0.0145063
16	0.046637	0.0153797
17	0.0101936	0.0101252
18	0.00158652	0.00270485
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 9
1	0.264572	0.0383676
2	0.0747692	0.0194362
3	0.212467	0.0348348
4	0.0835843	0.0266523
5	0.360105	0.0439575
6	0.00177632	0.00285943
7	0.001361	0.0025205
8	0.0013643	0.00240307
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0


