iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1015700	-6093.22	-8269.02	-53.573	7.16704	2246.7	-24.5012
1015800	-6091.52	-8255.04	-51.9741	7.16704	2233.23	-24.9147
1015900	-6078.67	-8249.89	-55.2867	7.16704	2242.8	-23.4549
1016000	-6130.16	-8277.48	-64.9841	7.16704	2227.61	-22.4783
1016100	-6094.37	-8259.82	-56.7635	7.16704	2238.08	-23.0387
1016200	-6144.84	-8283.6	-63.1449	7.16704	2218.2	-23.4646
1016300	-6084.24	-8295.92	-49.003	7.16704	2277.64	-24.13
1016400	-6115.28	-8297.95	-45.1525	7.16704	2244.49	-23.8289
1016500	-6076.84	-8251.04	-51.9503	7.16704	2243.47	-24.4929
1016600	-6045.45	-8218.22	-52.6605	7.16704	2241.65	-23.3797
1016700	-6088.46	-8263.38	-55.1562	7.16704	2247.42	-24.515
1016800	-6064.28	-8258.7	-48.9686	7.16704	2260.05	-23.8277
1016900	-6088.76	-8282.86	-54.8666	7.16704	2266.31	-24.5086
1017000	-6092.55	-8291.58	-56.5011	7.16704	2273.05	-24.6903
1017100	-6059.44	-8270.16	-53.2737	7.16704	2281.55	-24.7236
1017200	-6033.45	-8249.81	-52.7337	7.16704	2284.92	-22.9962
1017300	-6076.49	-8272.36	-60.2455	7.16704	2273.14	-24.1838
1017400	-6079.38	-8279.41	-47.811	7.16704	2266.25	-25.5831
1017500	-6115.59	-8274.87	-53.0852	7.16704	2229.71	-24.515
1017600	-6092.22	-8283.37	-50.1702	7.16704	2258.44	-24.2923
1017700	-6116.61	-8293.7	-60.8901	7.16704	2257.48	-26.6644
1017800	-6066.08	-8278.37	-49.8943	7.16704	2279.7	-24.6779
1017900	-6092.63	-8281.16	-50.1954	7.16704	2255.76	-24.2028
1018000	-6133.77	-8332.34	-56.7808	7.16704	2275.17	-26.9729
1018100	-6133.95	-8324.76	-56.1691	7.16704	2267.29	-27.478
1018200	-6136.98	-8329.53	-63.6342	7.16704	2276.12	-27.1054
1018300	-6081.67	-8311.03	-49.0563	7.16704	2298.81	-27.5646
1018400	-6097.54	-8318.28	-55.5587	7.16704	2295.24	-26.1028
1018500	-6102.74	-8313.07	-54.7782	7.16704	2283.07	-25.124
1018600	-6076.42	-8261.27	-62.757	7.16704	2265.47	-25.033
1018700	-6034.7	-8265.57	-48.9043	7.16704	2297.58	-24.9688
1018800	-6036.95	-8278.18	-51.3098	7.16704	2309.66	-24.2817
1018900	-6002.69	-8252.79	-47.1025	7.16704	2317.14	-27.107
1019000	-6026.37	-8245.97	-59.9131	7.16704	2298.38	-26.037
1019100	-6023.51	-8254.08	-54.6471	7.16704	2303.28	-25.2279
1019200	-6056.1	-8276.74	-49.7609	7.16704	2288.1	-24.8558
1019300	-6021.01	-8269.19	-42.8002	7.16704	2308.56	-24.7451
1019400	-6086.57	-8284.21	-55.9133	7.16704	2270.69	-24.2948
1019500	-6065.38	-8258.78	-60.1622	7.16704	2269.78	-23.3813
1019600	-6077.11	-8271.29	-60.5651	7.16704	2273.21	-25.6358
1019700	-6080.37	-8305.39	-41.9974	7.16704	2284.63	-24.779
1019800	-6061.22	-8261.86	-55.7024	7.16704	2274.44	-25.2666
1019900	-6135.01	-8322.71	-58.8164	7.16704	2263.68	-24.3318
1020000	-6111.08	-8304.04	-52.7437	7.16704	2262.52	-23.9783
1020100	-6090.26	-8301.02	-38.8749	7.16704	2268.57	-26.0997
