Sample,Reach,Sfo_C113_1,Sfo_C113_2,Sfo_C115_1,Sfo_C115_2,Sfo_C129_1,Sfo_C129_2,Sfo_C38_1,Sfo_C38_2,Sfo_C88_1,Sfo_C88_2,Sfo_D91_1,Sfo_D91_2,Sfo_B52_1,Sfo_B52_2,Sfo_C24_1,Sfo_C24_2,Sfo_C28_1,Sfo_C28_2,Sfo_C79_1,Sfo_C79_2,Sfo_C86_1,Sfo_C86_2,Sfo_D75_1,Sfo_D75_2
BS-07-006,7,124,133,229,229,230,233,143,143,184,193,220,220,215,225,116,116,179,191,120,123,101,119,180,180
BS-07-007,7,133,151,305,337,230,230,146,149,190,199,220,232,215,221,113,116,179,179,120,120,101,101,176,208
BS-07-008,7,133,133,229,305,224,230,149,149,184,184,216,220,223,223,113,116,187,191,120,120,119,119,176,216
BS-07-009,7,133,145,305,305,230,230,143,146,184,190,220,236,217,221,116,116,167,179,120,120,116,119,176,176
BS-07-010,7,133,151,235,333,233,233,143,143,184,184,216,232,221,221,116,116,183,187,120,120,101,116,176,180
BS-07-011,7,124,142,305,321,230,233,143,149,184,184,216,232,215,221,113,116,179,187,120,120,101,101,176,176
BS-07-012,7,133,154,305,309,224,233,143,143,181,184,216,236,221,221,113,116,179,183,120,120,101,101,176,180
BS-07-013,7,130,133,305,305,233,233,140,143,181,190,232,236,215,221,113,116,187,187,120,120,113,116,176,244
BS-07-014,7,124,151,305,309,230,233,143,143,190,190,220,220,221,227,113,119,175,179,120,120,101,119,180,212
BS-07-015,7,130,133,229,321,230,233,140,143,190,190,228,232,215,221,116,116,179,179,120,123,101,116,176,188
BS-07-016,7,130,151,237,337,230,230,143,149,190,190,228,232,217,221,113,113,179,183,120,120,101,101,176,212
BS-07-017,7,130,151,313,337,230,233,143,143,184,184,228,232,221,223,116,119,179,179,120,120,101,113,176,176
BS-07-018,7,133,151,305,305,230,230,143,143,190,190,232,232,215,215,113,119,171,183,120,120,101,101,176,200
BS-07-019,7,133,139,305,305,230,233,143,146,184,193,220,232,221,221,113,119,179,183,120,120,101,119,176,180
BS-07-020,7,139,145,237,305,230,233,140,140,184,184,232,232,215,221,113,116,175,179,120,120,101,101,176,176
BS-07-021,7,130,130,309,309,224,233,149,149,190,190,232,236,215,221,113,116,175,179,120,120,101,101,176,208
BS-07-022,7,133,145,305,309,230,230,143,146,184,199,220,220,215,221,116,116,179,187,120,120,101,113,176,176
BS-07-023,7,133,133,229,235,230,233,140,143,181,193,220,232,221,225,113,116,177,177,120,120,101,101,176,176
BS-07-024,7,124,133,237,309,230,233,140,140,190,193,220,232,221,221,116,116,167,183,120,120,101,113,176,176
BS-08-002,8,133,151,235,337,230,233,143,143,184,187,232,240,215,217,116,116,167,179,120,120,101,101,176,212
BS-08-004,8,151,154,305,305,230,233,143,149,181,190,232,232,221,221,113,113,179,187,120,120,101,110,176,212
BS-08-006,8,145,151,305,321,233,233,143,143,184,196,232,236,219,221,116,116,183,191,120,120,101,113,184,216
BS-08-007,8,133,139,235,305,230,230,143,146,190,190,220,220,215,215,116,119,179,179,120,120,101,101,176,180
BS-08-008,8,124,154,305,305,230,233,143,143,184,190,220,236,215,215,113,116,183,187,120,120,101,113,180,188
BS-08-009,8,130,133,237,309,233,233,143,149,181,184,232,236,217,227,113,113,179,187,120,120,101,101,176,176
BS-08-011,8,124,133,237,305,230,230,143,143,181,193,236,236,215,219,113,116,187,187,120,120,101,113,176,176
BS-08-012,8,136,151,237,305,230,233,143,143,184,184,220,220,215,215,113,116,179,183,120,120,116,119,176,220
BS-08-013,8,133,154,305,321,230,233,143,146,184,184,228,232,215,221,113,119,175,179,120,120,101,119,180,180
BS-08-014,8,133,151,305,305,233,233,143,143,184,193,232,236,221,223,113,116,179,179,120,120,101,113,176,196
BS-08-015,8,133,136,229,237,233,233,143,143,184,190,228,228,221,225,116,116,179,183,120,120,101,101,176,200
BS-08-016,8,130,133,229,333,224,233,140,143,187,190,220,232,221,227,116,119,179,179,120,120,101,113,176,176
BS-08-017,8,136,151,235,305,233,233,143,143,181,184,232,232,215,215,113,116,187,191,120,120,101,119,176,208
BS-08-020,8,145,151,229,309,230,233,140,143,181,184,232,236,215,221,113,113,179,191,120,120,113,119,176,208
BS-08-021,8,145,151,229,321,227,230,143,146,184,190,220,220,221,223,113,116,179,191,120,120,101,113,176,212
BS-08-022,8,130,151,229,237,224,230,143,143,184,184,220,236,221,223,116,119,183,187,120,120,101,101,176,200
BS-08-023,8,142,145,305,305,218,233,143,146,187,193,232,232,221,221,113,113,179,179,120,120,101,113,176,180
BS-08-026,8,151,151,229,309,233,233,143,146,181,190,220,232,221,221,113,113,183,187,120,120,101,101,180,200
BS-08-027,8,139,142,235,337,230,230,143,143,184,190,232,232,215,221,116,116,179,183,120,120,101,116,176,216
BS-08-029,8,130,145,243,321,230,233,143,143,184,190,264,264,215,223,113,119,175,179,120,120,101,101,200,212
BS-08-031,8,133,151,309,313,230,233,143,143,181,184,228,232,215,215,113,116,179,187,120,120,101,119,200,216
BS-08-032,8,133,142,237,237,230,233,143,149,181,190,228,232,215,221,113,116,179,179,120,120,101,101,200,212
BS-08-033,8,124,145,305,309,233,233,143,143,181,184,236,260,215,227,113,116,179,179,120,120,101,119,180,184
BS-08-034,8,142,151,337,337,224,233,143,149,184,193,236,236,223,223,110,113,179,179,120,120,101,116,176,176
BS-08-035,8,133,133,309,309,230,233,143,143,184,193,236,236,221,227,113,113,179,179,120,120,101,113,176,200
BS-09-001,9,145,151,229,309,221,233,143,143,184,184,232,236,215,227,116,119,179,187,120,120,113,119,176,216
BS-09-002,9,124,151,235,235,230,236,143,143,184,184,228,264,215,221,116,116,187,187,120,120,101,113,176,176
BS-09-003,9,133,133,229,337,230,230,143,143,184,187,228,232,221,223,116,119,167,187,120,120,101,113,176,176
BS-09-005,9,142,142,305,305,233,233,140,143,181,184,228,232,215,221,116,116,179,179,120,120,113,119,176,176
BS-09-007,9,136,151,305,305,230,230,143,143,184,184,220,220,221,221,113,116,187,187,120,120,101,113,176,244
BS-09-009,9,124,145,305,309,230,230,143,143,184,193,232,236,215,221,116,119,175,187,120,120,101,101,180,212
BS-09-011,9,124,133,241,309,230,230,140,143,184,184,224,232,221,221,116,116,167,179,120,120,101,101,176,244
BS-09-015,9,136,142,229,337,233,233,143,143,184,187,216,236,221,221,116,116,179,179,120,120,101,113,176,176
BS-09-018,9,130,133,305,309,218,233,140,146,184,190,220,232,221,221,116,119,179,187,120,120,101,119,176,180
BS-09-019,9,124,133,241,241,230,230,146,146,190,190,220,232,215,225,116,116,179,179,120,120,101,101,176,176
BS-09-020,9,133,151,313,321,218,233,143,149,181,190,232,236,221,223,113,116,167,171,120,120,101,110,184,208
BS-09-021,9,130,139,241,305,230,233,140,143,190,190,228,232,221,221,116,116,179,185,120,120,101,101,176,216
BS-09-022,9,151,151,229,305,224,233,140,143,184,190,228,236,221,223,116,116,179,187,120,120,101,113,180,200
BS-09-024,9,130,139,305,305,224,233,143,143,184,190,232,232,221,223,116,116,179,183,120,120,110,113,180,204
BS-09-026,9,133,142,237,305,233,233,143,143,190,190,228,228,215,215,116,119,179,179,120,120,101,119,176,212
BS-09-028,9,133,142,337,337,218,218,143,143,184,184,220,228,227,227,116,116,179,183,120,120,101,113,172,176
BS-09-030,9,151,151,235,305,230,233,143,149,184,184,232,232,221,225,113,119,179,187,120,120,101,113,176,212
BS-09-031,9,124,133,305,333,224,233,143,149,184,190,216,236,215,225,116,116,179,183,120,120,101,101,212,212
BS-09-033,9,136,145,243,305,230,230,143,143,181,181,216,232,215,215,113,113,175,187,120,120,101,113,176,212
BS-09-034,9,124,139,241,305,230,233,143,143,181,187,228,228,221,223,113,116,179,199,120,120,101,113,176,216
BS-09-035,9,124,133,305,305,224,233,143,149,184,193,232,236,221,221,113,116,167,179,120,120,110,113,176,176
BS-09-036,9,133,133,229,241,224,233,146,149,184,193,232,232,203,221,113,113,175,179,120,120,113,116,176,180
BS-09-038,9,145,151,305,321,230,233,143,149,193,193,228,236,223,225,116,116,179,187,120,123,101,113,176,216
BS-09-040,9,124,130,235,309,221,224,143,143,184,193,216,228,223,231,113,116,175,187,120,120,119,119,176,208
BS-09-041,9,133,136,305,321,230,230,143,143,184,190,232,240,221,221,116,116,179,203,120,120,101,113,176,216
BS-10-001,10,130,130,241,305,230,233,143,146,184,187,232,232,217,221,113,116,179,187,123,123,101,101,176,212
BS-10-002,10,151,151,241,305,224,230,143,143,184,187,220,228,215,223,116,116,179,179,120,120,113,113,172,176
BS-10-005,10,133,151,229,235,218,233,140,143,181,184,232,236,221,223,113,113,179,179,120,120,101,113,188,208
BS-10-006,10,124,133,229,305,230,233,143,143,184,187,228,236,215,225,116,116,179,179,120,120,101,113,176,176
BS-10-007,10,133,133,229,305,233,233,143,143,184,193,232,236,221,227,113,113,179,187,120,120,101,116,176,200
BS-10-008,10,124,133,229,243,233,233,143,143,184,193,212,232,221,221,113,116,179,183,120,120,101,116,176,188
BS-10-009,10,133,133,237,309,233,233,143,149,190,190,220,236,215,215,113,119,179,191,120,120,101,101,188,200
BS-10-010,10,133,151,305,305,224,233,149,149,184,187,232,232,215,223,116,119,179,187,120,120,113,116,176,176
BS-10-011,10,130,139,235,235,230,233,143,143,184,184,232,232,223,223,113,116,187,187,120,120,101,113,184,216
