Chain #8
Seed for random number generator: 8 51 52 8 11

Acceptance rates for chain #8 (%)
ptild: 27.9065
theta: 30.8101
p: 32.507
F: 38.7601
Mt: 12.7429
nm: 27.8942
m: 51.8359

Migration rates
Into/From	1	2	3	4	5
12	0.00141505	0.00281246
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.0034118	0.00558763
2	0.139326	0.0337332
3	0.0958044	0.028
4	0.0959808	0.0291042
5	0.0227919	0.0158232
6	0.0472558	0.0194692
7	0.0842179	0.0261891
8	0.0376633	0.0170685
9	0.0478572	0.0220477
10	0.0617404	0.024099
11	0.0167947	0.0154343
12	0.0874698	0.0261911
13	0.0141434	0.0126038
14	0.0188056	0.0129194
15	0.0135168	0.0119194
16	0.0208167	0.0169925
17	0.0832676	0.0280482
18	0.0107584	0.00821262
19	0.0194224	0.0131043
20	0.00598243	0.00837047
21	0.00727188	0.00890591
22	0.0029263	0.00498378
23	0.00447448	0.00658576
24	0.0020712	0.00364935
25	0.00286913	0.00501082
26	0.00492415	0.00703032
27	0.0030747	0.00511061
28	0.0160101	0.0113426
29	0.00550853	0.00716458
30	0.00408422	0.00636517
31	0.0033816	0.00597446
32	0.0054583	0.00739456
33	0.0101104	0.00800573
34	0.000808189	0.00236572

In population 3
At locus 1
1	0.0491877	0.0209515
2	0.0565173	0.0229594
3	0.068326	0.0355582
4	0.0491743	0.0217315
5	0.0493251	0.0209712
6	0.0456287	0.0202996
7	0.0261622	0.0162511
8	0.0471863	0.019521
9	0.0874267	0.0282164
10	0.0139882	0.01021
11	0.0402513	0.0187892
12	0.0717001	0.0298977
13	0.0319522	0.0163461
14	0.0548277	0.021929
15	0.0163078	0.0107873
16	0.0399214	0.0177077
17	0.039652	0.0221314
18	0.0163118	0.0111933
19	0.00642511	0.00620934
20	0.0379339	0.0181973
21	0.0154874	0.0103136
22	0.0371729	0.0181981
23	0.034399	0.0185475
24	0.0280017	0.0154666
25	0.0189021	0.012244
26	0.0104173	0.00817906
27	0.00741373	0.00659206
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.133388	0.0339424
2	0.0929253	0.0305934
3	0.139679	0.0345999
4	0.103028	0.0318145
5	0.02344	0.0142476
6	0.138084	0.0336538
7	0.0285523	0.0150296
8	0.0455877	0.0214012
9	0.0179516	0.0124647
10	0.0111395	0.00827681
11	0.0320244	0.0197726
12	0.00860597	0.00695327
13	0.00727785	0.00648792
14	0.0237733	0.0148011
15	0.0523901	0.0210994
16	0.00875613	0.00731066
17	0.0312331	0.0166876
18	0.0177333	0.0108144
19	0.00623793	0.0060149
20	0.00947669	0.00878059
21	0.00790217	0.00752486
22	0.00826197	0.00756803
23	0.00891187	0.00672049
24	0.00609078	0.00555591
25	0.00558648	0.00537075
26	0.00622579	0.00648456
27	0.00599435	0.00556676
28	0.00531234	0.00520802
29	0.00527874	0.00550915
30	0.00915196	0.00766113
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.26137	0.0431391
2	0.263354	0.0463109
3	0.407491	0.0507191
4	0.0361503	0.0190917
5	0.0205428	0.0118909
6	0.0058803	0.0054105
7	0.00521216	0.00535894
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.174182	0.0391366
2	0.194217	0.0425102
3	0.455145	0.0513112
4	0.0721357	0.0247743
5	0.0123513	0.00896311
6	0.0679259	0.0254439
7	0.0240437	0.0136203
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.782541	0.0443466
2	0.0327202	0.0161383
3	0.0242527	0.015151
4	0.00560309	0.00554568
5	0.0671249	0.0250796
6	0.0133962	0.00998659
7	0.0103401	0.00809799
8	0.0394764	0.0188928
9	0.00636575	0.00627334
10	0.00812617	0.00679254
11	0.0063969	0.00553156
12	0.00365708	0.00433968
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.340444	0.0496169
2	0.31832	0.0479826
3	0.0699903	0.0248423
4	0.0506448	0.0205898
5	0.0456498	0.0211464
6	0.032861	0.0165885
7	0.0480381	0.0212807
8	0.0144896	0.0102398
9	0.0263513	0.0135284
10	0.0395178	0.0190452
11	0.013693	0.00944636
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.110428	0.0329299
2	0.0672424	0.0260624
3	0.0948328	0.0336294
4	0.0547508	0.0218089
5	0.153629	0.0363847
6	0.231853	0.042284
7	0.0964869	0.0307319
8	0.0951908	0.0297556
9	0.0139021	0.00958578
10	0.0135258	0.00906588
11	0.0418578	0.0191689
12	0.0076608	0.00741565
13	0.00987194	0.00722147
14	0.00548376	0.00536085
15	0.00328316	0.00400575
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
