Chain #7
Seed for random number generator: 7 51 52 8 11

Acceptance rates for chain #7 (%)
ptild: 28.2878
theta: 25.7565
p: 32.7043
F: 41.2075
Mt: 12.888
nm: 30.5517
m: 51.1409

Migration rates
Into/From	1	2	3	4	5
33	0	0
34	0	0
At locus 5
1	0.918754	0.038456
2	0.0193152	0.0201548
3	0.00257962	0.00495998
4	0.000931109	0.0029057
5	0.0262584	0.0213699
6	0.00147651	0.0040407
7	0.00193411	0.00461329
8	0.0242376	0.0223079
9	0.00119745	0.00329107
10	0.00122122	0.00331105
11	0.00108623	0.00318389
12	0.00100817	0.00301666
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.404549	0.0698017
2	0.398466	0.0714694
3	0.0180977	0.0181116
4	0.0347283	0.0252876
5	0.033286	0.0257337
6	0.0400707	0.0300324
7	0.0263583	0.0224125
8	0.00887626	0.0110517
9	0.0189943	0.0164503
10	0.0151896	0.0161204
11	0.00138445	0.0035627
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.07826	0.0422431
2	0.017715	0.0185428
3	0.0560167	0.034501
4	0.0190803	0.0176348
5	0.232783	0.0573902
6	0.315453	0.0628561
7	0.05431	0.036594
8	0.199876	0.0472488
9	0.00380366	0.0070816
10	0.00410655	0.00754199
11	0.0100074	0.0124349
12	0.0014811	0.00355689
13	0.00524156	0.00882509
14	0.000773754	0.00304701
15	0.00109096	0.00307958
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.0666531	0.0295707
2	0.151176	0.0589439
3	0.00847631	0.0110087
4	0.0125743	0.0187241
5	0.0753239	0.034269
6	0.264734	0.0585031
7	0.130889	0.0425258
8	0.10022	0.039657
9	0.0408121	0.0271953
10	0.0963984	0.0402911
11	0.000974643	0.00303564
12	0.00821186	0.0096211
13	0.0158619	0.0134208
14	0.00218658	0.00490276
15	0.00165299	0.0042012
16	0.00256133	0.00523039
17	0.00115342	0.00327099
18	0.00352691	0.0070715
19	0.00118121	0.00328862
20	0.0154324	0.0183796
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
