Chain #6
Seed for random number generator: 6 51 52 8 11

Acceptance rates for chain #6 (%)
ptild: 25.9395
theta: 30.8874
p: 30.9348
F: 38.6244
Mt: 12.9984
nm: 27.9706
m: 51.8468

Migration rates
Into/From	1	2	3	4	5
12	0.00114415	0.00264089
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00324262	0.00558863
2	0.139553	0.0332044
3	0.0972194	0.0292714
4	0.0976244	0.0298538
5	0.0243628	0.0167296
6	0.0476272	0.0195557
7	0.0841826	0.0257104
8	0.0374207	0.0174188
9	0.0468097	0.0217871
10	0.0605678	0.0241322
11	0.0172371	0.0154839
12	0.0885051	0.026846
13	0.0142262	0.0126159
14	0.0179067	0.0125738
15	0.0140546	0.0122242
16	0.0194931	0.0164159
17	0.0832334	0.0282325
18	0.0109766	0.00846041
19	0.0195597	0.0130197
20	0.00527087	0.00784596
21	0.00696355	0.00892907
22	0.00285759	0.00496351
23	0.00417166	0.00650964
24	0.00189276	0.00342984
25	0.00242405	0.00451267
26	0.00447231	0.00660473
27	0.00319737	0.00525321
28	0.0156847	0.0114055
29	0.00539702	0.00715191
30	0.00374115	0.00612771
31	0.00320897	0.00559212
32	0.00512064	0.00711358
33	0.0101509	0.0081869
34	0.0016439	0.00323304

In population 3
At locus 1
1	0.0488275	0.0213774
2	0.0561561	0.0238696
3	0.0909806	0.0442605
4	0.0476321	0.0218492
5	0.0459759	0.0211808
6	0.0449617	0.0208997
7	0.024826	0.0169304
8	0.0452068	0.0200338
9	0.0824102	0.0293954
10	0.0122133	0.0101212
11	0.0375036	0.0189747
12	0.0809981	0.0340975
13	0.0324294	0.0168814
14	0.0512228	0.0230875
15	0.0146922	0.0109025
16	0.0386053	0.0180214
17	0.0460026	0.0253996
18	0.0162598	0.0115079
19	0.00636911	0.00648153
20	0.0354183	0.0179402
21	0.0137925	0.0104042
22	0.0367243	0.0185625
23	0.0307489	0.0184397
24	0.0268693	0.0158547
25	0.016902	0.012424
26	0.00976203	0.0081878
27	0.00650956	0.0065445
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.134392	0.0349445
2	0.101266	0.033015
3	0.14349	0.0367948
4	0.102245	0.0330236
5	0.0256524	0.0154374
6	0.134341	0.0343935
7	0.0260322	0.0155036
8	0.044526	0.0218311
9	0.0182911	0.0130981
10	0.00983506	0.00855919
11	0.0409607	0.0244351
12	0.00700263	0.00674136
13	0.00667265	0.00665308
14	0.0243323	0.0160202
15	0.0479763	0.0214735
16	0.00763244	0.00710202
17	0.029287	0.017026
18	0.0154857	0.010998
19	0.00664527	0.00653427
20	0.0115648	0.00948614
21	0.00781628	0.00765046
22	0.00944823	0.00811828
23	0.00825097	0.00727087
24	0.00455131	0.00512229
25	0.00505268	0.0054062
26	0.00606454	0.00636887
27	0.00497762	0.0053479
28	0.00407408	0.00483011
29	0.0043849	0.00516024
30	0.0077479	0.00729643
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.260124	0.0440297
2	0.271459	0.0473603
3	0.402296	0.051595
4	0.0387843	0.0205887
5	0.0179787	0.0121723
6	0.00510989	0.00565375
7	0.00424804	0.00509268
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.177365	0.0398428
2	0.198756	0.0432738
3	0.450723	0.052293
4	0.068906	0.0252622
5	0.0113509	0.00907228
6	0.0710584	0.0264667
7	0.02184	0.013801
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.801982	0.04984
2	0.0303288	0.0165523
3	0.0233008	0.0154412
4	0.00509686	0.00548409
5	0.0598595	0.0262298
6	0.0125867	0.0104054
7	0.00863214	0.00820299
8	0.0348634	0.0185875
9	0.00753025	0.00688867
10	0.00756478	0.00693403
11	0.00509292	0.00533688
12	0.00316209	0.00418641
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.346509	0.05054
2	0.321302	0.0487145
3	0.0673092	0.0253372
4	0.0491735	0.0210341
5	0.0487659	0.0224109
6	0.0300729	0.0167797
7	0.0515082	0.0225627
8	0.0128699	0.0102921
9	0.0220814	0.0143916
10	0.0383779	0.0195153
11	0.0120303	0.00963221
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.116463	0.0343723
2	0.0638559	0.0260797
3	0.107636	0.0385226
4	0.048422	0.0226517
5	0.163433	0.0392928
6	0.230146	0.0432592
7	0.0917349	0.0310877
8	0.0932726	0.0305469
9	0.0129291	0.00977199
10	0.0115227	0.00919468
11	0.0374843	0.0190785
12	0.00819319	0.00806404
13	0.00811124	0.00755572
14	0.00375653	0.0046328
15	0.00303937	0.00393151
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.113984	0.0419895
2	0.212889	0.0452565
3	0.0349628	0.0191116
4	0.0364577	0.0196427
5	0.109272	0.0337146
6	0.162828	0.0381412
7	0.0785363	0.0302563
8	0.0291224	0.017551
9	0.0438076	0.0209212
10	0.027654	0.0155865
11	0.00732101	0.00697382
12	0.0237415	0.0145227
13	0.047817	0.0203872
14	0.0151795	0.0110847
15	0.0103061	0.00893527
16	0.0129489	0.0109836
17	0.00952429	0.00820376
18	0.00640994	0.00650681
19	0.00780665	0.00707149
20	0.00943121	0.00828323
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.190018	0.0427976
2	0.251412	0.0462919
3	0.194523	0.0415901
4	0.134607	0.0496049
5	0.0315576	0.0168929
6	0.10623	0.0315799
7	0.0113149	0.00982669
8	0.0575015	0.023554
9	0.00583719	0.00609717
10	0.00589312	0.00591141
11	0.00572192	0.00591216
12	0.00538371	0.00567356
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00728689	0.00692144
2	0.0792988	0.0288625
3	0.0656776	0.0268545
4	0.0652339	0.0270675
5	0.0376216	0.0236588
6	0.0257297	0.0156957
7	0.0645098	0.0251353
8	0.0306447	0.0170681
9	0.0299623	0.0176802
10	0.0651446	0.0261247
11	0.057969	0.0320035
12	0.0353178	0.0190595
13	0.0614117	0.0317098
14	0.0172999	0.0129947
15	0.0384637	0.0195883
16	0.0374244	0.0193121
17	0.0701015	0.0271453
18	0.00410814	0.00501699
19	0.0273505	0.0153312
20	0.0186991	0.0133904
21	0.0180767	0.0128641
22	0.00444415	0.00517288
23	0.0166262	0.0125544
24	0.00592163	0.00591974
25	0.00741687	0.0070134
26	0.0143658	0.0112634
27	0.00785674	0.00786047
28	0.0192546	0.0125154
29	0.020118	0.0133878
30	0.0163003	0.012437
31	0.00987984	0.00867319
32	0.0120994	0.00979661
33	0.00451696	0.00537387
34	0.00386721	0.0047617

In population 4
