Chain #10
Seed for random number generator: 10 51 52 8 11

Acceptance rates for chain #10 (%)
ptild: 26.2901
theta: 25.9294
p: 31.444
F: 35.187
Mt: 11.2705
nm: 28.4698
m: 67.6872

Migration rates
Into/From	1	2	3	4	5
19	0.00745544	0.00702589
20	0.0082016	0.00747828
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.19425	0.0445231
2	0.246803	0.0470595
3	0.193027	0.0424481
4	0.141193	0.0566129
5	0.0306185	0.016719
6	0.106575	0.0330066
7	0.0107391	0.00988141
8	0.0585684	0.0250399
9	0.00522978	0.0056608
10	0.00517099	0.00557866
11	0.00508284	0.00564621
12	0.00274244	0.00392119
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00680204	0.00689871
2	0.0791973	0.0292668
3	0.0690695	0.0288343
4	0.06673	0.0285363
5	0.0414341	0.0284133
6	0.0266115	0.0166847
7	0.0627557	0.0245638
8	0.0303088	0.0177737
9	0.0280345	0.0171821
10	0.0656123	0.0271844
11	0.0590678	0.0350313
12	0.0371025	0.019628
13	0.0632532	0.030581
14	0.0172787	0.0129866
15	0.0378105	0.0202081
16	0.038223	0.0204892
17	0.069302	0.0266433
18	0.00390966	0.00501331
19	0.0264886	0.015285
20	0.0198267	0.0145523
21	0.0163981	0.0120499
22	0.00403099	0.0049567
23	0.0167703	0.0131585
24	0.00482684	0.00547993
25	0.00752446	0.00715031
26	0.0147021	0.0115281
27	0.00776556	0.00773059
28	0.0183613	0.0123415
29	0.018797	0.0130406
30	0.0162755	0.0128566
31	0.00920412	0.00887085
32	0.0106294	0.0090809
33	0.00444722	0.00536118
34	0.00144896	0.00259273

In population 4
At locus 1
1	0.0564079	0.0153231
2	0.0380992	0.0129969
3	0.0677538	0.016544
4	0.0347575	0.0130882
5	0.0371903	0.0132243
6	0.064235	0.0160098
7	0.00236376	0.00329222
8	0.0679782	0.0159299
9	0.0969014	0.019339
10	0.00198182	0.00311302
11	0.0274637	0.0104982
12	0.0193926	0.00975425
13	0.0404789	0.0126918
14	0.0411432	0.0132169
15	0.00600815	0.00501057
16	0.124686	0.0213184
17	0.0212184	0.00987646
18	0.006067	0.00488113
19	0.000951743	0.00193424
20	0.0888304	0.0181584
21	0.0335727	0.0112097
22	0.0690917	0.0163563
23	0.00708932	0.00561584
24	0.0416705	0.0129958
25	0.00243316	0.00359442
26	0.00127624	0.00248706
27	0.000957504	0.00191632
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.224169	0.0276358
2	0.10822	0.0216244
3	0.186774	0.0267745
4	0.105296	0.0203918
5	0.0291398	0.0115821
6	0.181903	0.0263891
7	0.00294581	0.0038652
8	0.0107473	0.0070932
9	0.00639448	0.00525227
10	0.00122472	0.00240487
11	0.00426364	0.00467418
12	0.00106043	0.00230214
13	0.00109966	0.00225737
14	0.00300857	0.00413893
15	0.0262194	0.0117352
16	0.00581276	0.00489266
17	0.0040311	0.00471539
18	0.0175106	0.00878172
19	0.0011856	0.00233158
20	0.00122992	0.00230559
21	0.00147912	0.0027137
22	0.00128117	0.00249502
23	0.00498154	0.00438182
24	0.00114503	0.00227195
25	0.000853537	0.00187227
26	0.0193544	0.00896107
27	0.000979284	0.00206083
28	0.000997883	0.00209774
29	0.00104265	0.00203096
30	0.0456491	0.0136621
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.191926	0.0262687
2	0.25137	0.0287467
3	0.534059	0.032962
4	0.00419683	0.00437171
5	0.0018177	0.00289955
6	0.00440386	0.00411999
7	0.012226	0.00676041
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.160179	0.0240078
2	0.171443	0.025281
3	0.539575	0.0324963
4	0.0710379	0.0168658
5	0.00777604	0.00594482
6	0.0233868	0.0108149
7	0.0266027	0.010497
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.877289	0.0215879
2	0.024941	0.0105607
3	0.00373959	0.00456253
4	0.000871571	0.00181943
5	0.0187202	0.00936689
6	0.00157966	0.0026375
7	0.00151975	0.00268115
8	0.0675648	0.0161942
9	0.000977383	0.00204859
10	0.00109359	0.00216427
11	0.000817293	0.00178831
12	0.000886631	0.00185916
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
