Chain #9
Seed for random number generator: 9 51 52 8 11

Acceptance rates for chain #9 (%)
ptild: 25.7857
theta: 30.8224
p: 30.5209
F: 38.5488
Mt: 12.7887
nm: 27.8664
m: 51.8736

Migration rates
Into/From	1	2	3	4	5
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.786372	0.0442745
2	0.032076	0.0158251
3	0.0234895	0.0144701
4	0.00549234	0.0051825
5	0.0653512	0.0243017
6	0.0132993	0.00966392
7	0.0100955	0.00782346
8	0.0386745	0.0181905
9	0.00744311	0.00655371
10	0.00839458	0.00669859
11	0.00560381	0.0050404
12	0.00370805	0.00428018
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.342892	0.0487797
2	0.317478	0.0469108
3	0.0696657	0.0241606
4	0.0510836	0.0199732
5	0.0447157	0.0204232
6	0.0321724	0.0161573
7	0.0497336	0.0213417
8	0.0145801	0.0101374
9	0.0257345	0.0132274
10	0.0392546	0.0184307
11	0.0126895	0.00896291
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.113148	0.031845
2	0.0661508	0.0250221
3	0.0954984	0.0330598
4	0.0532349	0.0214449
5	0.154903	0.0363897
6	0.232701	0.0417871
7	0.0948885	0.0290255
8	0.0959052	0.0286008
9	0.0142186	0.0093619
10	0.0129532	0.00879947
11	0.0414403	0.0183687
12	0.00867098	0.00753258
13	0.00855365	0.00662931
14	0.005053	0.00496772
15	0.00268033	0.00363231
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.104096	0.0360524
2	0.206573	0.0431335
3	0.0317753	0.0169803
4	0.0412533	0.0187044
5	0.103073	0.0312346
6	0.162176	0.0368993
7	0.0832855	0.0283711
8	0.0320706	0.016576
9	0.0446672	0.0195693
10	0.0305979	0.0148936
11	0.0087005	0.00690058
12	0.0239564	0.0137389
13	0.048655	0.0190232
14	0.0158391	0.0106514
15	0.0104629	0.0083827
16	0.0144193	0.0104435
17	0.0108144	0.00783347
18	0.00729393	0.00631052
19	0.00923363	0.00698563
20	0.0110575	0.0082464
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.183197	0.0403214
2	0.260274	0.0434858
3	0.1964	0.0401219
4	0.120638	0.0427033
5	0.0332313	0.0164435
6	0.109841	0.0304236
7	0.0119767	0.00940543
8	0.0606804	0.0227085
9	0.00502746	0.00524711
10	0.0056595	0.00537399
11	0.00631677	0.00559967
12	0.00675675	0.00573794
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00783333	0.00667502
2	0.0790619	0.02746
3	0.0668439	0.0252777
4	0.0604546	0.0248415
5	0.0298858	0.0191766
6	0.0247382	0.0144879
7	0.0645128	0.0235117
8	0.0326924	0.0159889
9	0.0319561	0.0165193
10	0.068931	0.0251056
11	0.0477079	0.0254744
12	0.0383776	0.0182739
13	0.0528147	0.0266323
14	0.0199198	0.0128003
15	0.035913	0.018504
16	0.0397356	0.0184153
17	0.0737151	0.0258123
18	0.00520958	0.00542432
