iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1028500	-9399.36	-12634.1	-73.0406	15.8903	3329.03	-37.149
1028600	-9463.94	-12691	-64.0802	15.8903	3313.86	-38.5846
1028700	-9463.49	-12698.8	-77.8709	15.8903	3336.96	-39.7112
1028800	-9488.19	-12714.4	-74.6652	15.8903	3325.75	-40.7562
1028900	-9510.46	-12720	-86.0181	15.8903	3322.87	-43.1682
1029000	-9572.74	-12757.6	-92.6267	15.8903	3304.84	-43.2326
1029100	-9474.71	-12704.2	-59.5287	15.8903	3314.21	-41.0997
1029200	-9501.16	-12710.5	-87.2092	15.8903	3321.31	-40.6683
1029300	-9452.19	-12708.4	-76.6932	15.8903	3358.52	-41.5322
1029400	-9467.5	-12724	-85.411	15.8903	3368.72	-42.7217
1029500	-9452.94	-12691.8	-70.1119	15.8903	3333.83	-40.72
1029600	-9480.51	-12709.7	-60.2614	15.8903	3313.03	-39.4736
1029700	-9512.63	-12715.7	-73.4411	15.8903	3301.82	-41.1885
1029800	-9494.31	-12706.5	-74.5894	15.8903	3311.71	-40.8406
1029900	-9478.02	-12702.8	-78.9584	15.8903	3328.91	-41.0757
1030000	-9476.58	-12695.2	-82.1921	15.8903	3326.95	-42.009
1030100	-9518.08	-12732.2	-79.6048	15.8903	3321	-43.1185
1030200	-9547.06	-12751.1	-76.932	15.8903	3304.97	-39.9336
1030300	-9527.33	-12695	-70.2891	15.8903	3259.01	-36.9184
1030400	-9558.49	-12698.7	-80.4123	15.8903	3242.36	-37.6055
1030500	-9554.95	-12714.2	-73.9962	15.8903	3256.35	-38.9507
1030600	-9608.42	-12725	-76.351	15.8903	3217.05	-40.0597
1030700	-9608.94	-12708.5	-71.2519	15.8903	3192.75	-37.8523
1030800	-9629.03	-12728.6	-86.9769	15.8903	3208.99	-38.3241
1030900	-9617.23	-12709.8	-91.4448	15.8903	3203.95	-35.8277
1031000	-9602.59	-12747	-75.5066	15.8903	3243.15	-39.1112
1031100	-9628.42	-12724.5	-69.8979	15.8903	3188.73	-38.6848
1031200	-9619.46	-12723.4	-78.8074	15.8903	3204.3	-37.3996
1031300	-9623.89	-12733	-73.0061	15.8903	3204.41	-38.197
1031400	-9595.62	-12693.6	-80.3103	15.8903	3200.46	-38.0761
1031500	-9576.94	-12700.1	-67.5834	15.8903	3212.36	-37.5058
1031600	-9555.56	-12697.9	-80.9449	15.8903	3244.06	-36.6502
1031700	-9526.25	-12637.2	-76.8006	15.8903	3208.87	-37.0063
1031800	-9600.2	-12696.1	-75.6129	15.8903	3192.48	-36.8971
1031900	-9550.23	-12644.9	-85.0886	15.8903	3201.73	-37.8795
1032000	-9560.77	-12710.4	-69.7707	15.8903	3239.97	-36.4638
1032100	-9582.4	-12694.9	-73.7686	15.8903	3206.81	-36.3925
1032200	-9539.83	-12666.6	-67.3914	15.8903	3212.23	-34.0035
1032300	-9609.99	-12689.7	-88.4056	15.8903	3188.81	-36.559
1032400	-9546.81	-12705.2	-66.1231	15.8903	3245.78	-37.1313
1032500	-9559.3	-12681.7	-67.6059	15.8903	3211.3	-37.1767
1032600	-9557.76	-12675.1	-68.6595	15.8903	3206.38	-36.3084
1032700	-9571.63	-12667.8	-87.5045	15.8903	3205.08	-37.2468
1032800	-9607.84	-12700.3	-85.1562	15.8903	3202.02	-40.2848
1032900	-9620.42	-12725	-74.5441	15.8903	3202.35	-39.1477
1033000	-9598.58	-12695.3	-68.217	15.8903	3185.98	-36.948
1033100	-9606.76	-12690.6	-76.4037	15.8903	3180.74	-36.4075
1033200	-9578.59	-12685.1	-82.8208	15.8903	3208.38	-34.9197
1033300	-9588.05	-12716.8	-70.58	15.8903	3220.49	-37.0369
1033400	-9571.84	-12665	-69.9339	15.8903	3183.24	-36.0785
1033500	-9572.65	-12694.4	-69.3228	15.8903	3211.92	-36.7133
1033600	-9551.78	-12630.8	-79.2741	15.8903	3177.82	-35.4613
1033700	-9617.48	-12698.6	-77.3275	15.8903	3178.34	-35.7967
1033800	-9593.88	-12664.5	-67.8765	15.8903	3157.46	-34.8761
1033900	-9676.28	-12720.9	-73.4849	15.8903	3139.35	-37.112
1034000	-9594.35	-12704.5	-77.4347	15.8903	3208.98	-37.3219
1034100	-9617.49	-12700.4	-72.1583	15.8903	3174.61	-35.4025
1034200	-9643.84	-12721.9	-80.8837	15.8903	3180.4	-37.3486
1034300	-9622.25	-12711.5	-72.0777	15.8903	3180.75	-35.3079
1034400	-9634.83	-12753.3	-84.0809	15.8903	3223.71	-37.0668
1034500	-9620.92	-12693.4	-84.3543	15.8903	3180.43	-39.525
1034600	-9555.08	-12685.3	-70.9778	15.8903	3226.66	-41.4075
1034700	-9537.57	-12650.3	-70.8727	15.8903	3205.03	-37.3377
1034800	-9576.77	-12692.2	-81.3833	15.8903	3219.47	-38.5445
1034900	-9591.47	-12679.5	-78.5583	15.8903	3191.14	-40.4259
1035000	-9643.77	-12730.9	-86.0289	15.8903	3198.04	-40.7198
1035100	-9581.29	-12702	-70.299	15.8903	3213.98	-38.8921
1035200	-9617.12	-12713	-73.6789	15.8903	3190.79	-37.1695
1035300	-9575.18	-12674.6	-61.6204	15.8903	3183.84	-38.6866
1035400	-9698.38	-12722.7	-80.653	15.8903	3128.36	-39.2236
1035500	-9646.91	-12704.7	-72.3717	15.8903	3153.6	-39.319
1035600	-9681.46	-12721.3	-74.6504	15.8903	3136.85	-38.2737
1035700	-9644.01	-12702.2	-69.6961	15.8903	3151.63	-39.6351
1035800	-9732.89	-12763.6	-85.1447	15.8903	3141.58	-41.6509
1035900	-9736.92	-12757.7	-68.4934	15.8903	3113.73	-40.3264
1036000	-9758.64	-12739.4	-67.2352	15.8903	3071.07	-38.9815
1036100	-9714.2	-12740.4	-62.7716	15.8903	3111.82	-38.7623
1036200	-9700.11	-12733.5	-75.732	15.8903	3133.47	-40.2072
1036300	-9645.34	-12717.4	-62.3387	15.8903	3160.58	-42.0477
1036400	-9676.99	-12765.6	-68.8674	15.8903	3183.74	-42.1898
1036500	-9670.64	-12761	-64.6389	15.8903	3178.3	-39.1971
1036600	-9662.66	-12711.5	-77.0195	15.8903	3150.36	-40.4087
