Chain #2
Seed for random number generator: 2 51 52 8 11

Acceptance rates for chain #2 (%)
ptild: 27.8169
theta: 30.8688
p: 32.84
F: 38.5445
Mt: 12.9127
nm: 28.0043
m: 51.8858

Migration rates
Into/From	1	2	3	4	5
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.303164	0.0447335
2	0.342339	0.0454406
3	0.135226	0.0318183
4	0.0514175	0.0208303
5	0.0507728	0.0190319
6	0.0245311	0.0151276
7	0.0327169	0.0178119
8	0.0336968	0.0152568
9	0.00907795	0.00965988
10	0.0112425	0.0108189
11	0.00581547	0.00751196
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.195516	0.037128
2	0.0515541	0.0230709
3	0.0723218	0.0263239
4	0.0911918	0.0271334
5	0.0885776	0.0298561
6	0.220443	0.0421079
7	0.0563568	0.0256248
8	0.0864835	0.0262535
9	0.00572966	0.00740971
10	0.00395654	0.00577871
11	0.112459	0.0275983
12	0.00445458	0.00653318
13	0.00228158	0.00399871
14	0.00186828	0.00375912
15	0.00680657	0.00613439
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.0503076	0.0238665
2	0.293269	0.0435117
3	0.0343417	0.0173948
4	0.0160533	0.013628
5	0.0818794	0.0292721
6	0.124934	0.0341349
7	0.0310181	0.01939
8	0.0925128	0.0255767
9	0.070203	0.0234306
10	0.027714	0.0144856
11	0.00293194	0.00492623
12	0.0456603	0.0178292
13	0.0363277	0.0179519
14	0.0186843	0.0126764
15	0.00530261	0.00802871
16	0.0500512	0.0185727
17	0.0033702	0.00521672
18	0.00203773	0.00357434
19	0.00301358	0.00483412
20	0.0103875	0.00805055
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.214477	0.0407346
2	0.2863	0.0422627
3	0.179207	0.0369703
4	0.0797586	0.0295539
5	0.0379154	0.0180426
6	0.124215	0.0314246
7	0.0271527	0.0143764
8	0.0425343	0.0200547
9	0.0028534	0.00459809
10	0.0019474	0.00372655
11	0.00209801	0.00383155
12	0.00154157	0.00302482
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00358383	0.00555786
2	0.138022	0.0329283
