"study_code","fst","lon1","lat1","lon2","lat2","site_id1","site_id2","distance_km"
"SAFO-9",0.424410222138366,-82.68086,36.08926,-82.21049,36.17373,98,2,43.3231962000527
"SAFO-9",0.459253929601519,-82.70171,36.07015,-82.21049,36.17373,99,2,45.6505774349365
"SAFO-9",0.57641355799396,-82.71383,36.06074,-82.21049,36.17373,100,2,46.9780609547792
"SAFO-9",0.394838318549475,-82.65665,36.09476,-82.21049,36.17373,101,2,41.0643271844089
"SAFO-9",0.327105556326182,-82.65339,36.10322,-82.21049,36.17373,102,2,40.5833694782052
"SAFO-9",0.430771342027204,-82.64642,36.10136,-82.21049,36.17373,103,2,40.0104079989983
"SAFO-9",0.312363172513244,-82.42665,36.09076,-82.21049,36.17373,104,2,21.5176153830719
"SAFO-9",0.573411269614335,-82.41823,36.107,-82.21049,36.17373,105,2,20.0986877696281
"SAFO-9",0.477197903763559,-82.04382,36.22619,-82.21049,36.17373,106,2,16.0706395867299
"SAFO-9",0.293597455956592,-81.71624,36.55005,-82.21049,36.17373,107,2,60.9752296854901
"SAFO-9",0.383261678598575,-81.69987,36.57484,-82.21049,36.17373,108,2,63.939998738395
"SAFO-9",0.085966730258081,-82.04641,36.13995,-82.09356,36.12929,4,3,4.40200204157024
"SAFO-9",0.246835059562226,-81.97623,36.4715,-82.09356,36.12929,5,3,39.5221873314275
"SAFO-9",0.382411769918683,-81.65772,36.61068,-82.09356,36.12929,6,3,66.3162779171467
"SAFO-9",0.612217737538792,-83.02765,35.80358,-82.09356,36.12929,7,3,91.6369143794146
"SAFO-9",0.349912404520521,-82.1020676,36.1481741,-82.09356,36.12929,8,3,2.23698244789318
"SAFO-9",0.482724811477179,-84.13839,35.27136,-82.09356,36.12929,9,3,208.060037896517
"SAFO-9",0.232513147819094,-84.13883,35.27077,-82.09356,36.12929,10,3,208.126127409789
"SAFO-9",0.411933959457272,-81.75301,36.47009,-82.09356,36.12929,11,3,48.7106737207226
"SAFO-9",0.35336169601334,-82.03939,36.22432,-82.09356,36.12929,12,3,11.6448178254582
"SAFO-9",0.31233543388576,-81.97535,36.47862,-82.09356,36.12929,13,3,40.3072788198369
"SAFO-9",0.348808712590661,-81.97776,36.46861,-82.09356,36.12929,14,3,39.1756149020829
"SAFO-9",0.387895134708322,-81.97548,36.48027,-82.09356,36.12929,15,3,40.4814310436199
"SAFO-9",0.529905526116977,-82.07703,36.43865,-82.09356,36.12929,16,3,34.4697270137428
"SAFO-9",0.57248934621664,-81.68075,36.61062,-82.09356,36.12929,17,3,65.1161177419825
"SAFO-9",0.593225691362797,-81.6842,36.60794,-82.09356,36.12929,18,3,64.6953221952119
"SAFO-9",0.393344704662039,-84.06616,35.35711,-82.09356,36.12929,19,3,197.868003762515
"SAFO-9",0.50526222867741,-84.08841,35.31263,-82.09356,36.12929,20,3,201.906088650617
"SAFO-9",0.432081136917714,-82.25484,36.15739,-82.09356,36.12929,21,3,14.8319354631387
"SAFO-9",0.242592925643767,-84.15451,35.28567,-82.09356,36.12929,22,3,208.618989573105
"SAFO-9",0.500004563379987,-84.06326,35.33046,-82.09356,36.12929,23,3,198.966744974115
"SAFO-9",0.514972755950469,-84.06039,35.31993,-82.09356,36.12929,24,3,199.272444363461
"SAFO-9",0.406132799526408,-84.06977,35.26967,-82.09356,36.12929,25,3,202.659748945505
"SAFO-9",0.356409889207855,-82.11887,36.14285,-82.09356,36.12929,26,3,2.73062240719831
"SAFO-9",0.382727009406773,-82.11659,36.13248,-82.09356,36.12929,27,3,2.10084909360239
"SAFO-9",0.22707488287356,-82.11473,36.1352,-82.09356,36.12929,28,3,2.01384903650395
"SAFO-9",0.5244444452981,-82.33594,36.13409,-82.09356,36.12929,29,3,21.7986225760493
"SAFO-9",0.484909401627055,-81.90506,36.55461,-82.09356,36.12929,30,3,50.2729108875205
"SAFO-9",0.147361043048558,-82.09474,36.12972,-82.09356,36.12929,31,3,0.116393684301557
"SAFO-9",0.357890315573179,-82.05173,36.22549,-82.09356,36.12929,32,3,11.3494069795284
"SAFO-9",0.184021461187916,-82.17293,36.16176,-82.09356,36.12929,33,3,7.99814111822844
"SAFO-9",0.423456891498847,-81.90466,36.56265,-82.09356,36.12929,34,3,51.1282845840188
"SAFO-9",0.435240055021301,-81.96416,36.54832,-82.09356,36.12929,35,3,48.0677241159933
"SAFO-9",0.273165518720657,-82.09393,36.12262,-82.09356,36.12929,36,3,0.743245951330351
"SAFO-9",0.214276526330027,-82.17514,36.16359,-82.09356,36.12929,37,3,8.26785873985001
"SAFO-9",0.250136529684666,-82.17506,36.16372,-82.09356,36.12929,38,3,8.26817384569451
"SAFO-9",0.362335760767098,-82.08698,36.2477,-82.09356,36.12929,39,3,13.1945909686393
"SAFO-9",0.3801894253488,-82.26069,36.14808,-82.09356,36.12929,40,3,15.1700018936374
"SAFO-9",0.297937929800291,-82.18287,36.17002,-82.09356,36.12929,41,3,9.21980898323457
"SAFO-9",0.368841562229904,-82.08323,36.24119,-82.09356,36.12929,42,3,12.4911795420809
"SAFO-9",0.276391490389787,-82.14892,36.16695,-82.09356,36.12929,43,3,6.50683660554817
"SAFO-9",0.364902359354416,-82.06922,36.23098,-82.09356,36.12929,44,3,11.5294090197892
"SAFO-9",0.396096003505544,-82.087,36.2492,-82.09356,36.12929,45,3,13.3613249874288
"SAFO-9",0.28053051609816,-81.87634,36.56077,-82.09356,36.12929,46,3,51.8307322329124
"SAFO-9",0.300676279896735,-82.14414,36.17496,-82.09356,36.12929,47,3,6.82029352577175
"SAFO-9",0.401701301079069,-82.07484,36.2397,-82.09356,36.12929,48,3,12.4053366258629
"SAFO-9",0.396068620671707,-82.03356,36.23038,-82.09356,36.12929,49,3,12.4780458834597
"SAFO-9",0.368630256269208,-82.07496,36.23644,-82.09356,36.12929,50,3,12.0443907424105
"SAFO-9",0.270155578750065,-81.72522,36.54138,-82.09356,36.12929,51,3,56.5279967262155
"SAFO-9",0.413385126317084,-83.56931,35.71136,-82.09356,36.12929,52,3,140.937442517648
"SAFO-9",0.442465252683575,-81.99947,36.47321,-82.09356,36.12929,53,3,39.2045206140541
"SAFO-9",0.518715920705269,-82.53579,36.09033,-82.09356,36.12929,54,3,40.0071572808449
"SAFO-9",0.228910237491643,-82.38883,36.22825,-82.09356,36.12929,55,3,28.7275342991427
"SAFO-9",0.287788826688257,-81.98374,36.46864,-82.09356,36.12929,56,3,39.0399956135297
"SAFO-9",0.40122230398367,-82.00246,36.46886,-82.09356,36.12929,57,3,38.674252342123
"SAFO-9",0.337833602563212,-82.59643,36.06788,-82.09356,36.12929,58,3,45.74509045392
"SAFO-9",0.275815523854541,-81.72401,36.54296,-82.09356,36.12929,59,3,56.73393813142
"SAFO-9",0.452321243180438,-82.53488,36.08992,-82.09356,36.12929,60,3,39.9308875626959
"SAFO-9",0.331951479449891,-81.71547,36.55017,-82.09356,36.12929,61,3,57.8319939135243
"SAFO-9",0.396293204797065,-82.00146,36.24522,-82.09356,36.12929,62,3,15.3302644265301
"SAFO-9",0.408294533268182,-81.99355,36.25685,-82.09356,36.12929,63,3,16.8036581392082
"SAFO-9",0.345331605053897,-82.15692,36.38934,-82.09356,36.12929,64,3,29.5020180412361
"SAFO-9",0.402601131222119,-82.11581,36.39837,-82.09356,36.12929,65,3,30.0203500493574
"SAFO-9",0.481801763017293,-82.07072,36.43135,-82.09356,36.12929,66,3,33.6875742979313
"SAFO-9",0.523134907880567,-81.81341,36.3779,-82.09356,36.12929,67,3,37.3947839904978
